source,text,sentiment,score
instagram,kelihatan udh muak dia. udh kyk. yah udhlah. mampus aja lu sana. capek gw. kyk gitu.. krna banyaknya orang jokowi msh menjabat. d tambah prabowo cuman oke gas. oke gas. dengerin seskab doang. bapak in udh muak kyknya. capek kerja. dianggap badut sama orng pemerintahan,negative,0.999
instagram,"yang panik pengusaha, kita mah biasa biasa saja, gak ada pengaruh yg penting bisa makan setiap harinya",negative,0.9912
instagram,wkwkwk..mereka tidak memiliki jalan keluar.. serahkan segalanya kepada yg kuasa,negative,0.9939
instagram,ciee lempar lepmaran,negative,0.973
instagram,jadi mentri paling dicari wartawan bapak ini,neutral,0.8854
instagram,lorrrrr kemarin yakin skrg kok lempar ke bi?,negative,0.9748
instagram,mac demarco  moonlight on the river,neutral,0.9732
instagram,"purbaya sudah ga bisa asal ngomong lagi!. awal2 ngomongnya tinggi  mudah buat janji!!!. menganggap enteng masalah! kalo sekarang lebih realistis, ga gampang lagi ngomong yg manis2. kirain awalnya menjanjikan, ternyata....",negative,0.9778
instagram,cuci tangan mulu si pur,negative,0.9963
instagram,"kasihan ..pusing beliau, malah ga tau apa penyebabnya apa....mumet ",negative,0.9991
instagram,"sinyal bakal diganti, makanya males ngapa2in",negative,0.9831
instagram,kok ga senyum  pak pur???,negative,0.9825
instagram,"purbaya juga bingung, gubernur bi gk bisa di senggol",negative,0.9035
instagram,"prabowo suruh liat purbaya, purbaya lempar ke b meanwhile ibu2 di rumah bertarung masing2",neutral,0.6032
instagram,bahaya nih kalo menkeunya dah gak ada senyumnya,negative,0.9978
instagram,terserah dirimulah... negara macam apa ni? ,negative,0.9985
instagram,aurèlia  sailor song butidobelieveingod,negative,0.4921
instagram,emng purbaya bisa krj  cuma filing halu donk ??,negative,0.9717
instagram,gubernur bi harus diganti dgn kualitas setara dan seintegritas spt purbaya baru negara ini baik,positive,0.789
instagram,ada istilah its ok not to be ok. kuncinya harus berani bilang ke ri1 bahwa imagenya sedang buruk di antaranya pemborosan dan program yang tak tepat. gak usah denial. data gak pernah bohong,negative,0.514
instagram,rumornya akan segera direshuffle itu menkeu..tapi gantinya siapa ?,neutral,0.5649
instagram,"bapak sesekali coba ke warung madura beli indomie satu,telor satu dan rokok sebatang cukup enggak uang nya 10 rb",positive,0.5137
instagram,emg selama ini elo udeh ngapain aje poor ,negative,0.9985
instagram,"pak pur pindah bi ajah pak, yg titipan itu gak guna",negative,0.9303
instagram,apa susahnya sih jangan sok terlalu kuat,negative,0.9911
instagram,"ya situ gak panikkkkkk..... lhak kita ????? kagak panikkk??? beras naik, minyak naik, listrik naik, tempe naikk, ikan naikkkk... kaya begitu gak panikkk bpk terhormat??",negative,0.9488
instagram,kasihan juga beliau semua ditanya kedia ,negative,0.9986
instagram,kentut pur pur,neutral,0.3757
instagram,ancur ancur wo woprabowo,negative,0.9981
instagram,dari awal sih gk yakin nih org bisa ngimbangi ilmu smi apa lg awal dia udah gelontorkan 200t,negative,0.9695
instagram,"dolar 18rebu , harga2 naik , woy  wowo,purbaya,gub bi , rakyat menjerit woy !!!",neutral,0.6385
instagram,mr. pur mulai sulit senyum ,negative,0.9905
instagram,tanda tanda ini ...,neutral,0.7093
instagram,fundamental kita masih sangat baik yah pak ,positive,0.9892
instagram,lain hari lain omongan ,negative,0.9737
instagram,"rupiah diserahkan ke bi tetapi uu p2sk disahkan hari itu juga hmmm setelah ada mandat baru bahwa bank harus mendukung pertumbuhan ekonomi berkelanjutan dan juga harus bersedia diawasi dpr, kira2 market apa yg akan dilakukankan ya",neutral,0.7708
instagram,"bentar lg rupiah dibenerin ke15000, biar tengkulak sama buzzer2 si soroz jantungan, lihat saja diatas tgl 15 nanti",negative,0.9795
instagram,"lempar tangan sembunyi batu ya, om ?",negative,0.9339
instagram,"kalau dia panik , gk ada yang mau investasi lagi, tapi kalo dibiarin anjlok hancur juga indonesia. yang kecekik kan rakyat bukan pemerintahan",negative,0.9983
instagram,kami yg panik pak,negative,0.9815
instagram,keren bgt buzzer darithe_imfbeneran keren usahanya ,positive,0.9974
instagram,sinetron apa lg ni. menkeu nya nanti jg diganti sodaranya pak wowo biar komplit krn katanya org desa g pake dollar,negative,0.8091
instagram,purbayayudhikatanya mau di ganti? seriusan nanya?,negative,0.8449
instagram,"sbg org awam sy taunya sebagian besar masyarakat pd ga punya duit, yg punya duit nabung di luar negeri lebih ga ribet ",negative,0.688
instagram,ganti chatib basri,neutral,0.9632
instagram,noh di bi ada si ponakan si onoh ama gub bi nya ngapain aja?? tahu diri dong siap resign ..!!,negative,0.9986
instagram,hendra_wijaya29iya lagipadahal bagus beliau,positive,0.7726
instagram,apa yang diharapkan dari pejabat2 yg presiden nya si anti kritik. rezim ini sibuk ngurusin rakyatsibuk ngurusin ternak2,negative,0.9986
instagram,"bank indonesia bisa dianalogikan seperti dokter. jika kondisi tidak baik, maka melakukan tindakan seperti suku bunga atau masuk ke pasar valas.pemerintah bisa dianalogikan seperti pengatur pola hidup, biar sehat. dalam konteks ekonomi, pemerintah harus menjaga apbn, mendorong ekspor, mengurangi impor, investasi stabil dll.",positive,0.5047
instagram,bapak gak panik karena penghasilan sebagai menteri abs asal bapak senang banyak. bagaimana nasib rakyat yang pajaknya untuk gaji bapak?,negative,0.9862
instagram,antonio carlos jobim  look to the sky,neutral,0.9184
instagram,yg atas gak bakal panik yg panik itu golongan ke bawah apa apa jadi naik sedangkan pendapatan tetap sama,positive,0.5615
instagram,gak panik sih tapi lesu ya pak,negative,0.8454
instagram,menteri gak ada gunanya ,negative,0.9989
instagram,lo ga panik tapi gw panik lihat kenyataanlo enak jabatan dan income gede!,negative,0.7921
instagram,"omon omon lah lu pak, pada dasarnya lu gak bisa atasin ini, gila si ini pemerintahan",negative,0.9988
instagram,"bukan masalah anda panik, tapi rakyat yang panik",negative,0.9936
instagram,pak purnomo terlalu royall ga berani ngebully orang orang nafsuan . kasian .,negative,0.9992
instagram,"orang jujur kerja nya jd kurus,, ekhh yg pembohong gemuk dandan dadan",negative,0.999
instagram,pak purbaya ketika bl tahan rupiah bapak pingin mencairkan ketika dolar kuat di serahkan bl jangan banyak intervensi bl sekarang coba naikan bunga deposito,neutral,0.9859
instagram,mulai lempar lemparan ...,negative,0.8892
instagram,purbaya sok tau,negative,0.9411
instagram,"dari video ini pak pur udah ga senyum, kata presiden kan kalo pak pur dah ga senyum berarti udah gawat",negative,0.9877
instagram,sylvie vartan  la maritza,neutral,0.7578
instagram,kapan tembus 20.000 pak....,negative,0.7722
instagram,serahkan yg sering ngayap sama pacaran ke luar negri,negative,0.9954
instagram,"mending jujur aja pak kondisi ekonomi kita saat ini sprti apa? ajak swasta utk mikirin strateginya seperti apa, permudah regulasi pemerintah dgn tetap menjalankan fungsi kontrol dan monitoringnya,,, jgn diskusi sama org partai pak, beda hasilnya",negative,0.9248
instagram,coba wawancara juga ke gubernur bi. apa langkah nyatanya sekarang.,negative,0.9148
instagram,semangat ya pak,positive,0.9406
instagram,anda lihat saya panik? nggak! ,negative,0.9636
instagram,"ayo p pur,katanya jagooo, pintar..katanya berada di belakang 3 presiden dlm hal ksh saran dulu dulu,jgn kalah ama sm...",positive,0.6106
instagram,"ekonomi kita masih baik, tunggu hancur?",negative,0.8734
instagram,gak usah denial pak ngomong aja udah gak senyum lagi gtu kok,negative,0.9973
instagram,masyarakat indonesia yang panikan sama dollar cuma para pengusaha saya sebagai rakyat biasa santai saja,negative,0.986
instagram,"katanya doktor lulusan purdue? ah, malumaluin aja.",negative,0.9983
instagram,kannn akhirnya cuci tangan ,negative,0.8104
instagram,si gembrot masih egois susah,negative,0.9992
instagram,pak purbaya tak berdaya bang lihat gestur tubuh nya bang,negative,0.9639
instagram,bacot gaya doank tapi otak kosong,negative,0.9986
instagram,pak panik pak masalah nya prabowo mikir kalau bapak baik baik saja berarti aman...padahal gak seaman itu,negative,0.9984
instagram,"yg panik kita2, rakyat bro",negative,0.9976
instagram,"pak katanya rupiah turun harta atasan bi ada yang malah meningkat pesat, perlu dicek kembali tuh ...",neutral,0.5846
instagram,"pak menteri, bi itu cuma ugd, dokter spesialisnya itu tim anda. bi cuma punya parasetamol intervensi idr tapi penyakit aslinya pemborosan fiskal, tata kelola, dll tim anda yang harus beresin. jangan lempar batu abis itu ngumpet..",negative,0.9977
instagram,"mulai diem kan bacotnya, kmrin ini org yg teriak2 turun 15rb",negative,0.9986
instagram,biasa...saling lempar...haha..matak tong loba gaya euuyy...,negative,0.9329
instagram,mentri yang hanya bisa sesumbar di medsos hasil kerja nol... tong kosong nyaring bunyinya,negative,0.9984
instagram,liat dong direktur bi siapa. dari awal emang apa sih yang buat kepercayaan investor turun. rupiah anjlok.,negative,0.9916
instagram,g sanggup kan lu pak dah mundur ja lahpurbayayudhi,negative,0.9941
instagram,memang tidak mudah ngelawan mafia global. perlu keberanian dan kecerdasan ekstraordinary,positive,0.5477
instagram,tembus 20rb br panik,negative,0.9934
instagram,mulai stres.. lempar k bi.. kebijakan fiskal bro yg hrs d perbaiki..,negative,0.9974
instagram,gk panik sampe 25rb ya gk pur?  lu mau ikutin jejak rumah lu dijarah warga lagi kyk si mantan?,negative,0.9978
instagram,"anda ngga panik biar rupiah sampe 20 ribu,karna uang anda masi banyak walaupun anda di pecat,beda sama kami rakyat biasa berbelanja di pasar harga semakin naik semua",positive,0.7973
instagram,hahaha titipan bi mana tuh,negative,0.9968
instagram,"sekarang yang panik rakyat, pejabat di atas malah santai2 saja. beda sama zaman pak habibie",negative,0.9957
instagram,gubernur bi nya siapa ,negative,0.7599
instagram,gak punya wa grup finansial apa yah.. masing2 aja,negative,0.6574
instagram,"udah dibilang pasti di lempar ke bi, karena bi ga bakalan bisa kena intervensi siapapun, ujungnya mentok di bi. inilah langkah cerdasnya pemerintah untuk disalahkan",negative,0.9936
instagram,"bapak mah nggak panik, msh punya gaji gede, tunjangan gede, bonus gede pak... laah kalo harga tambah naik, rakyat yang panik lho pak....",negative,0.8211
instagram,menkeu paling berisik,neutral,0.8194
instagram,ga ada niatan berhenti gitu pak?,negative,0.9857
instagram,pak purbaya udah pengen resign itu.,negative,0.8432
instagram,ga senyum udh ga baik baik aja,negative,0.9978
instagram,pak pak apalagi drama ini pak,positive,0.9408
instagram,"si tukng omdo mulai gugup hoki amt lho dia, mdel sdm rendh bgtu bisa dpt kursi jabatan luar biasa kau purrr. perbnyk omdony lgi yhhhh",positive,0.9783
instagram,"banyak begal, preman, maling motor, sehingga bule takut ke indo, wisatawan takut inves di indo pak, sehingga kemungkinan pendapatan visa, valas berkurang, ayok dong perbaiki, masyarakat ingin hak keamanannya ",negative,0.9974
instagram,"proposal buat presiden  mohon bisa segera rombak jajaran bank sentral, ganti personel personel yang tidak kompeten atau tidak mengerti tidak memiliki ilmu , sebagai banl regulator. termasuk kerabat presiden. posisikan beliau ditempat yang sesuai dengan skillnya, dan ditempat yang lessvital. demikian saran.",negative,0.3959
instagram,tumben ga cengengesan,negative,0.6489
instagram,"ujug2 meledak ,,ngeriii...",negative,0.9964
instagram,gak paniklah pendapatanya ratusan x lipat umr ,negative,0.6851
instagram,uda bener ga masuk pemerintahan malah nawarin diri,negative,0.9924
instagram,"kaco purbaya, kenapa gak mundur aja dia??",negative,0.7705
instagram,yg punya duit bnyk kaya mentri pejabat penikmat pajak rakyat mah gak panik,negative,0.8911
instagram,waaah emang klo 18.000 naik seberapa jauh,negative,0.9858
instagram,"coba suruh dia aja jadi gubernurbank_indonesia, kn kmrn dia blg dalam semalam bisa rupiah ke 15k tuh, ayo dongprabowokita buktikan omongan si koboy ",negative,0.9694
instagram,bilang aja gak mampu bos!!!,negative,0.9974
instagram,ledakin aja udah nanggung,negative,0.9978
instagram,ga ada wa atau telepon kah? abis pulsa? ,negative,0.9337
instagram,"bilang pak pur ke media yg bikin naek atasan gw, asal ngomong kl pidato, jd investor asing pada kabur",negative,0.9966
instagram,lah kok tanya saya....,negative,0.9807
instagram,mau rupiah 20.000 ribu pun ga akan panik sih kan cuma menjalankan tugas dapet gaji gede. udah lebih dari cukup. yg panik yg dibawah harga kebutuhan naik signifikan ,negative,0.6184
instagram,"mo nyalahin faktor eksternal, malaysia g gini² amat pak",negative,0.9709
instagram,tp bukannya bilang mau ke 15.000??????? bukannya harus bantu sana,negative,0.9971
instagram,katanya 15ribu? lain hari lain omongan ni purbadut,negative,0.9942
instagram,anda memng tidak panik.yg panik sekitar 200 juta rakyat miskin indonesia,negative,0.9651
instagram,paak ini keadaan udh harus dintervensi loh,negative,0.9956
instagram,"bi mestinya bilang  presiden yang ugalugalan impor motor bgn, impor susu, sering jalanjalan ke ln, trus gw bisa apa?",negative,0.9885
instagram,wkkwkwkw lempar2an purbacot,negative,0.9872
instagram,"imf..... institusi setan ribawi dajjal laknatulah yang sangat zholim menindas rakyat indonesia dengan mengacak acak bursa saham indonesia, menurunkan daya beli rupiah ... bubarkan bi.. boneka cukong bankir oligarki dunia imf dan bank dunia ribawi dajjal laknatulah yang sangat zholim menindas umat manusia",negative,0.9986
instagram,min coba cecer gub bi nya biar balance beritanya. biar gub bi viralnya sebanding dg pak pur,neutral,0.4351
instagram,pak pur mulai oleng  ,neutral,0.8461
instagram,udah gini baru main lempar2 an !!!!!,negative,0.9988
instagram,minta pemilu ulang boleh gak ???,neutral,0.7848
instagram,ping pong pun dimulai. ,negative,0.8355
instagram,hadehhh banyak bacot buat rupiah anjlok bilang yakin bla bla bla,negative,0.9963
instagram,"dia panik kalo sudah gak digaji , selama masih digaji mana mungkin panik",negative,0.9967
instagram,fiskal gimana pak? bi kan moneter..,neutral,0.9754
instagram,susah klo presidennya denial,negative,0.9986
instagram,gile tembus 18rb masih dibilang baik ,positive,0.6841
instagram,rupiah bgini msh aja fokus urus mbg d sicc ,negative,0.6106
instagram,"jago narasi, eksekusi nol",negative,0.7462
instagram,demam badan udh 39 masih bilang sehat2 aja,negative,0.9101
instagram,ga usa panik...krn org desa ga pake dollar,negative,0.6919
